Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        25 |        25 |        25 |          
Sentences  |         1 |         1 |         1 |          
Words      |        25 |        25 |        25 |        25
UPOS       |         0 |        25 |        25 |        25
XPOS       |        25 |        25 |        25 |        25
UFeats     |         8 |        25 |        25 |        25
AllTags    |         0 |        25 |        25 |        25
Lemmas     |        24 |        25 |        25 |        25
UAS        |        20 |        25 |        25 |        25
LAS        |        19 |        25 |        25 |        25
CLAS       |        10 |        14 |        13 |        14
MLAS       |         0 |        14 |        13 |        14
BLEX       |         9 |        14 |        13 |        14
