Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        38 |        38 |        38 |          
Sentences  |         1 |         1 |         1 |          
Words      |        38 |        38 |        38 |        38
UPOS       |        38 |        38 |        38 |        38
XPOS       |        38 |        38 |        38 |        38
UFeats     |        38 |        38 |        38 |        38
AllTags    |        38 |        38 |        38 |        38
Lemmas     |        38 |        38 |        38 |        38
UAS        |         3 |        38 |        38 |        38
LAS        |         1 |        38 |        38 |        38
CLAS       |         1 |        20 |        15 |        20
MLAS       |         1 |        20 |        15 |        20
BLEX       |         1 |        20 |        15 |        20
